Division[55],Club[55],City,Stadium[56],Capacity,Coordinates,First season[57],Head coach
American Football Conference,,,,,,,
East,Buffalo Bills,"Orchard Park, NY",New Era Field,"71,608",42°46?26?N 78°47?13?W? / ?42.774°N 78.787°W? / 42.774; -78.787? (Buffalo Bills),"000000001960-01-01-00001960 (AFL), 000000001970-01-01-00001970 (NFL)",Sean McDermott
East,Miami Dolphins,"Miami Gardens, FL",Hard Rock Stadium,"65,326",25°57?29?N 80°14?20?W? / ?25.958°N 80.239°W? / 25.958; -80.239? (Miami Dolphins),"000000001966-01-01-00001966 (AFL), 000000001970-01-01-00001970 (NFL)",Adam Gase
East,New England Patriots,"Foxborough, MA",Gillette Stadium,"66,829",42°05?28?N 71°15?50?W? / ?42.091°N 71.264°W? / 42.091; -71.264? (New England Patriots),"000000001960-01-01-00001960 (AFL), 1970 (NFL)",Bill Belichick
East,New York Jets,"East Rutherford, NJ",MetLife Stadium[B],"82,500",40°48?50?N 74°04?26?W? / ?40.814°N 74.074°W? / 40.814; -74.074? (New York Jets),"000000001960-01-01-00001960 (AFL), 000000001970-01-01-00001970 (NFL)",Todd Bowles
North,Baltimore Ravens,"Baltimore, MD",M&T Bank Stadium,"71,008",39°16?41?N 76°37?23?W? / ?39.278°N 76.623°W? / 39.278; -76.623? (Baltimore Ravens),000000001996-01-01-00001996[C],John Harbaugh
North,Cincinnati Bengals,"Cincinnati, OH",Paul Brown Stadium,"65,515",39°05?42?N 84°30?58?W? / ?39.095°N 84.516°W? / 39.095; -84.516? (Cincinnati Bengals),"000000001968-01-01-00001968 (AFL), 000000001970-01-01-00001970 (NFL)",Marvin Lewis
North,Cleveland Browns,"Cleveland, OH",FirstEnergy Stadium,"67,431",41°30?22?N 81°41?56?W? / ?41.506°N 81.699°W? / 41.506; -81.699? (Cleveland Browns),"000000001946-01-01-00001946 (AAFC), 000000001950-01-01-00001950 (NFL)[C]",Hue Jackson
North,Pittsburgh Steelers,"Pittsburgh, PA",Heinz Field,"68,400",40°26?49?N 80°00?58?W? / ?40.447°N 80.016°W? / 40.447; -80.016? (Pittsburgh Steelers),000000001933-01-01-00001933,Mike Tomlin
South,Houston Texans,"Houston, TX",NRG Stadium,"72,220",29°41?06?N 95°24?40?W? / ?29.685°N 95.411°W? / 29.685; -95.411? (Houston Texans),000000002002-01-01-00002002,Bill O'Brien
